date,PRE_CLOSE,OPEN,HIGH,LOW,CLOSE,PCT_CHG,VOLUME,AMT,PE_TTM,PB_LF,MKT_CAP_ARD,TOTAL_SHARES,FLOAT_A_SHARES,FREE_FLOAT_SHARES
2004-04-06,1118.374,,,,1123.958,0.499296299806689,,,28.319000244140625,3.1012001037597656,1639774846079.0,213888960707.0,32244524438.0,31432383864.000004
2004-04-07,1123.958,,,,1117.541,-0.570928806948315,,,28.22909927368164,3.0917000770568848,1634796908617.9998,213888960707.0,32244524438.0,31432383864.000004
2004-04-08,1117.541,,,,1112.939,-0.41179697210212973,,,28.043399810791016,3.0713000297546387,1624042166532.0,214733597114.0,32244524438.0,31432383864.000004
2004-04-09,1112.939,,,,1088.255,-2.217911314097176,,,27.371400833129883,2.9976999759674072,1585124511732.0,214750545722.0,32734902599.999996,31432383864.000004
2004-04-12,1088.255,,,,1080.177,-0.742289261248531,,,27.164100646972656,2.97160005569458,1572808712804.0,214750545722.0,32734902599.999996,31398319696.0
2004-04-13,1080.177,,,,1073.125,-0.652855967123898,,,27.06130027770996,2.960099935531616,1566753823524.0,214759473101.0,32743829979.0,31398319696.0
2004-04-14,1073.125,,,,1066.078,-0.6566802562609225,,,26.55900001525879,2.9458999633789062,1563397770199.0,214759473101.0,32743829979.0,31398319696.0
2004-04-15,1066.078,,,,1056.281,-0.9189759098302399,,,26.34040069580078,2.9217000007629395,1550531360131.0,214759473101.0,32743829979.0,31398319696.0
2004-04-16,1056.281,,,,1071.626,1.4527384285052962,,,26.331100463867188,2.963599920272827,1578567181296.0,214759473101.0,32743829979.0,31403206428.0
2004-04-19,1071.626,,,,1055.129,-1.5394363331983427,,,25.909900665283203,2.922100067138672,1560714884627.0,216101602225.0,32743829979.0,31437270595.999996
2004-04-20,1055.129,,,,1052.635,-0.23636920224919558,,,25.878400802612305,2.916800022125244,1557692075481.0,216101602225.0,33147079651.0,31307942717.0
2004-04-21,1052.635,,,,1043.921,-0.8278273095612384,,,25.25510025024414,2.8624000549316406,1531364117915.0,216101602225.0,33147079651.0,31307942717.0
2004-04-22,1043.921,,,,1051.147,0.6921979728350982,,,25.407400131225586,2.870800018310547,1536277844823.0002,216101602225.0,33147079651.0,31372509139.0
2004-04-23,1051.147,,,,1034.793,-1.555824256740498,,,25.152099609375,2.848299980163574,1525976290323.0,216101602225.0,33147079651.0,31372509139.0
2004-04-26,1034.793,,,,1039.385,0.44376024963447747,,,25.456600189208984,2.851599931716919,1538409612924.0,216101602225.0,33147079651.0,31572977030.000004
2004-04-27,1039.385,,,,1031.6,-0.7490006109382069,,,25.162399291992188,2.811199903488159,1517978665551.0,216101602225.0,33147079651.0,31572977030.000004
2004-04-28,1031.6,,,,1030.189,-0.13677782086078238,,,24.818700790405273,2.7927000522613525,1511810395383.0,216101602225.0,33147079651.0,31572977030.000004
2004-04-29,1030.189,,,,1016.89,-1.290928169491238,,,24.604999542236328,2.7567999362945557,1494857420233.0,216101602225.0,33147079651.0,31743434963.000004
2004-04-30,1016.89,,,,1026.335,0.9288123592522348,,,24.177799224853516,2.760699987411499,1526392145455.0,216101602225.0,33147079651.0,31743434963.000004
2004-05-10,1026.335,,,,996.535,-2.9035353953631193,,,23.562299728393555,2.6903998851776123,1487533507112.0,216101602225.0,33147079651.0,31743434963.000004
2004-05-11,996.535,,,,1004.271,0.776289844310535,,,23.81399917602539,2.7191998958587646,1503423457820.0,217255515127.0,33159628947.0,31743434963.000004
2004-05-12,1004.271,,,,1025.401,2.104013757242827,,,24.292699813842773,2.7737998962402344,1533645670695.0,217255515127.0,33459628947.0,31743434963.000004
2004-05-13,1025.401,,,,1021.377,-0.39243183886110056,,,24.20599937438965,2.7639000415802,1528172988739.0,217255515127.0,33459628947.0,31743434963.000004
2004-05-14,1021.377,,,,998.317,-2.2577363696264894,,,23.564199447631836,2.6905999183654785,1487655619079.0,217255515127.0,33459628947.0,31743434963.000004
2004-05-17,998.317,,,,982.101,-1.6243337537074904,,,22.91200065612793,2.6161999702453613,1446479322631.0,217582083847.0,33459628947.0,31743434963.000004
2004-05-18,982.101,,,,989.574,0.7609197017414662,,,23.01729965209961,2.628200054168701,1453126697358.0,217582083847.0,34285786547.0,31743434963.000004
2004-05-19,989.574,,,,989.289,-0.02880027163203239,,,23.087200164794922,2.636199951171875,1457542456009.0,217582083847.0,34285786547.0,31743434963.000004
2004-05-20,989.289,,,,986.728,-0.2588727864152978,,,22.99650001525879,2.6257998943328857,1451812841870.0,217582083847.0,34285786547.0,31743434963.000004
2004-05-21,986.728,,,,995.254,0.864067909292132,,,23.235200881958008,2.65310001373291,1466887145471.0,218282083847.0,34285786547.0,31743434963.000004
2004-05-24,995.254,,,,992.7,-0.2566179085941854,,,23.205799102783203,2.6496999263763428,1465027911135.0,224309755047.0,34485786547.0,31743434963.000004
2004-05-25,992.7,,,,979.436,-1.336153923642592,,,22.87019920349121,2.6113998889923096,1443843035149.9998,224309755047.0,34735786547.0,31743434963.000004
2004-05-26,979.436,,,,985.845,0.654356180495713,,,23.05229949951172,2.632200002670288,1455336765179.0,224309755047.0,34735786547.0,31743434963.000004
2004-05-27,985.845,,,,1004.149,1.856681324143245,,,23.524200439453125,2.6861000061035156,1485131739066.0,224309755047.0,34735786547.0,31743434963.000004
2004-05-28,1004.149,,,,996.493,-0.7624366503377435,,,23.385700225830078,2.670300006866455,1476387927333.9998,224309755047.0,34735786547.0,31743434963.000004
2004-05-31,996.493,,,,1002.055,0.5581574582059179,,,23.52669906616211,2.6863999366760254,1485285074890.0,224309755047.0,34735786547.0,31743434963.000004
