,中债-国债总财富(总值)指数,沪深300指数(全收益),SGE黄金9999
2013-05-13,0.8627149151784422,0.06067123294086142,0.07661385188069629
2013-05-20,0.863859606631803,0.06053200046762746,0.07560839290056963
2013-05-27,0.8649341281398064,0.060206922548527476,0.0748589493116661
2013-06-03,0.8799217205605734,0.053437372127912365,0.06664090731151438
2013-06-13,0.8868685655957625,0.04987143295337345,0.063260001450864
2013-06-17,0.8879209534633896,0.0494862118302606,0.06259283470634981
2013-06-24,0.8651645719501931,0.057380188573471436,0.07745523947633545
2013-07-01,0.8667386286024596,0.058057941570359504,0.0752034298271809
2013-07-08,0.8682101334483873,0.057457786169130526,0.07433208038248218
2013-07-15,0.8703395703324219,0.05583519759253935,0.07382523207503865
2013-07-22,0.8696256558723807,0.05611683779219443,0.07425750633542472
2013-07-29,0.8676153084229579,0.05706252270263088,0.07532216887441132
2013-08-05,0.8685337429844322,0.05704958034981998,0.0744166766657476
2013-08-12,0.8664662709188349,0.0581707511491275,0.07536297793203764
2013-08-19,0.8618444408065744,0.06037940226454506,0.0777761569288805
2013-08-26,0.8595504699740237,0.06144156551769929,0.07900796450827681
2013-09-02,0.8594750142925173,0.06172237938400376,0.07880260632347891
2013-09-09,0.8611824822758638,0.06066767273185744,0.07814984499227885
2013-09-16,0.8608402438589491,0.06112174012371577,0.07803801601733511
2013-09-23,0.8598569084675487,0.06145258183313299,0.07869050969931814
2013-09-30,0.8590785498957958,0.06207709002976474,0.07884436007443939
2013-10-08,0.8589906361216522,0.062107969475229396,0.07890139440311839
2013-10-14,0.8600537834865823,0.06160285902564348,0.07834335748777418
2013-10-21,0.861370057402176,0.06125339031924235,0.07737655227858178
2013-10-28,0.8607895521658467,0.06185092330465463,0.07735952452949849
2013-11-04,0.8596670193625645,0.0623660592477897,0.07796692138964569
2013-11-11,0.8503753115963582,0.0665561815389612,0.08306850686468065
2013-11-18,0.8439045033733346,0.06887621821991428,0.08721927840675113
2013-11-25,0.841666067177506,0.070072217163922,0.08826171565857202
2013-12-02,0.8297458911724599,0.07518247197412878,0.09507163685341136
2013-12-09,0.8281563290253499,0.07617578375511236,0.09566788721953785
2013-12-16,0.8247137963842627,0.07770825464776081,0.0975779489679765
2013-12-23,0.8251526446428847,0.07787055069512748,0.09697680466198777
2014-01-02,0.8246421260171568,0.07898614593940245,0.09637172804344084
2014-01-06,0.823210993353267,0.08053085925812098,0.09625814738861212
2014-01-13,0.8223462858841142,0.08089759188720012,0.09675612222868568
2014-01-20,0.8216945012297356,0.08154125388660874,0.09676424488365558
2014-01-27,0.8183316506084368,0.08282663060959523,0.09884171878196792
2014-02-07,0.8160845994579013,0.08469080625308886,0.09922459428900984
2014-02-10,0.8166082632089864,0.08422359009797382,0.0991681466930398
2014-02-17,0.8171120481939843,0.08446878607124883,0.09841916573476689
2014-02-24,0.8161441727704712,0.08509678923510505,0.09875903799442382
2014-03-03,0.810502367702058,0.08793848284054633,0.10155914945739579
2014-03-10,0.8090301380094218,0.08800093953133961,0.10296892245923862
2014-03-17,0.8075412922075939,0.08908048432256276,0.1033782234698435
2014-03-24,0.805574036715274,0.09144067940139602,0.10298528388333011
2014-03-31,0.8052627128298167,0.0919170580830672,0.10282022908711626
2014-04-08,0.8048321195990851,0.09257854957096505,0.10258933082994977
2014-04-14,0.8044085202803776,0.09284440361203601,0.10274707610758642
2014-04-21,0.8013341053576881,0.09466173130922739,0.10400416333308449
2014-04-28,0.8010010633397195,0.09430635229993117,0.10469258436034919
2014-05-05,0.7907950470128354,0.09297998733880578,0.1162249656483588
2014-05-12,0.7809678109766782,0.09670431534928531,0.12232787367403646
2014-05-19,0.7789542663157972,0.09703192427678049,0.12401380940742217
2014-05-26,0.7772204084010389,0.09730666199189986,0.12547292960706113
2014-06-03,0.7729935745043256,0.09901923575287266,0.12798718974280174
2014-06-09,0.7714148281256317,0.09897590533591398,0.12960926653845434
2014-06-16,0.770932553951553,0.0991629209552237,0.12990452509322326
2014-06-23,0.7721607784008182,0.09939421257099844,0.12844500902818343
2014-06-30,0.7707158719562619,0.10053357017441965,0.12875055786931844
2014-07-07,0.7709318570439647,0.10315120012144445,0.12591694283459087
2014-07-14,0.76650994011232,0.10081259068658943,0.13267746920109066
